ID,Country,Name,Longitude,Latitude,Designation,Legal/Formal Instrument,Designation Type,Date Established,Domain,Status,Reported Area_ha,Reported Marine Area_ha,Management Plan,IUCN Management Categories,International Convention,State/Province/District,Management Effectiveness Model,Management Effectiveness Rating,Zonation,No Take,Reported No Take Area (ha),Source
4013500,Philippines,Sto. Ni±o-Basiawan Fish Sanctuary,125.503833,6.56105,Fish Sanctuary - Local,,Local,1/1/1999,Marine,Designated,40,0,Yes,VI,No,Davao del Sur,MEAT,Established,Unknown,All,40,CCEF
4055600,Philippines,Sto. Rosario Fish Sanctuary,124.830442,10.126492,Fish Sanctuary - Local,,Local,1/1/2001,Marine,Designated,45.13,0,Yes,Unknown,No,Southern Leyte,MEAT,Sustained,Unknown,All,45.13,CCEF
4012100,Philippines,Suba Marine Sanctuary,124.581714,9.746583,Marine Sanctuary - Local,,Local,1/1/2004,Marine,Designated,19.96,0,Yes,Unknown,No,Bohol,MEAT,Sustained,Unknown,All,19.96,CCEF
4055700,Philippines,Sudmon Fish Sanctuary,125.192523,10.571587,Fish Sanctuary - Local,,Local,1/1/2003,Marine,Designated,29.7,0,Yes,Unknown,No,Southern Leyte,MEAT,Strenghtened,Unknown,All,29.7,CCEF
4017400,Philippines,Sulangan Marine Sanctuary,123.706528,11.11057,Marine Sanctuary - Local,,Local,1/1/1999,Marine,Designated,20,0,Yes,VI,No,Cebu,MEAT,Sustained,Unknown,All,20,CCEF
4005300,Philippines,Sumilon Island Fish Sanctuary,123.386267,9.430983,Fish Sanctuary - Local,,Local,1/1/1974,Marine,Designated,39.75,0,Yes,VI,No,Cebu,MEAT,Sustained,Unknown,All,39.75,CCEF
4062600,Philippines,Ta±on Strait Protected Seascape - NIPAS,123.5488,10.500559,Protected Seascape - NIPAS,Proc. 1234,National,5/27/1998,Marine,Designated,450000,450000,Unknown,V,Unknown,,Unknown,Unknown,No,Unknown,0,PAWB
4006500,Philippines,Tabalong Marine Sanctuary,123.819288,9.639525,Marine Sanctuary - Local,Mun. Ord. No. 07 Series 2005,Local,1/1/2005,Marine,Designated,16.23,0,Unknown,Unknown,No,Bohol,Unknown,Unknown,Unknown,All,16.23,CCEF
4062100,Philippines,Tabugon Marine Reserve,125.1147,10.16919,Marine Reserve - Local,,Local,1/1/1996,Marine,Designated,0,0,Unknown,Unknown,No,Southern Leyte,Unknown,Unknown,Unknown,Unknown,0,MSN-MSI
4033900,Philippines,Taculing/Canmalalang Marine Sanctuary,123.594335,9.276448,Marine Sanctuary - Local,,Local,1/1/1998,Marine,Designated,12.13,0,Yes,Unknown,No,Siquijor,Unknown,Unknown,Unknown,All,12.13,CCEF
4025300,Philippines,Tag- Anongan Marine Protected Area,126.201801,9.225715,Marine Protected Area - Local,,Local,1/1/2003,Marine,Designated,24.78,0,Yes,Unknown,No,Surigao Del Sur,MEAT,Established,Unknown,Unknown,0,CCEF
4055900,Philippines,Tag-ulo Marine Reserve,126.180509,9.190845,Marine Reserve - Local,,Local,1/1/2003,Marine,Designated,10.48,0,Yes,Unknown,No,Zamboanga Norte,MEAT,Strenghtened,Unknown,Unknown,0,CCEF
4056000,Philippines,Taklobo Farm Marine Protected Area,123.388933,8.7277,Marine Protected Area - Local,,Local,1/1/1989,Marine,Designated,2,0,Yes,Unknown,No,Zambales,MEAT,Sustained,Unknown,Unknown,0,CCEF
4001200,Philippines,Taklong Island Nationl Marine Reserve,122.509126,10.408928,Nationl Marine Reserve - NIPAS,"Proclamation No 525, and Republic Act 7586 otherwise known as ôNIPAS Act of 1992ö",National,2/8/1990,Marine,Designated,1143.45,0,Unknown,IV,No,Guimaras,Unknown,Unknown,No,Unknown,0,WDPA
